name,id,boe-occ-no,date-occ-issued,purpose,first-year-qualified
"D Street Senior Housing, Inc. ",2861195,20115,12/18/07,Charitable ,8-Jul
D.A.R.E. America ,1631009,3668,12/11/03,Charitable ,Unavl
"D.A.V. Charities of Fresno County, Inc. ",542144,17719,5/5/05,Charitable ,5-Apr
D.A.V. Charities of San Joaquin County ,650104,3669,12/11/03,Charitable ,Unavl
D.A.V. Industries ,526940,3670,12/11/03,Charitable ,Unavl
"DAAR-UL-ILM For The Muslim Youth, Inc. (Institute Of Knowledge) ",2225349,20259,2/7/08,Religious ,8-Jul
Dai Bei Temple ,1270211,14639,12/11/03,Religious ,Unavl
Dai Dao Tam Ky Pho Do Hoi Tin Huu Cao Dai Mien Nam California Caodaist Association of Southern Ca ,1589742,21538,10/16/09,Religious ,10-Sep
"Dai Dao Tam Ky Pho Do,Cao Dai Giao Hai Ngoai ",1723675,22140,9/17/10,Religious ,10-Sep
Dai Dao Tam Ky Pho Do-Toa Thanh Tay Ninh  (Chau Dao California) ,1931532,3673,12/11/03,Religious ,Unavl
"Daishu-In West, Inc. ",1977436,3674,12/11/03,Religious ,Unavl
"Dalai Lama Foundation, Inc., The ",2422435,20104,3/4/08,Charitable ,7-Jun
"Dalmatian Dreams Foundation, The ",1943089,18542,12/5/05,Charitable ,6-May